A|art.|un|
A BANK OVERGROWN WITH THYME|n.|un banca u luxuria li tim|
A CLOSE FIGHT|n.|un combatte long índecidet|
A DOWNRIGHT FOOL|n.|un absolut folio|
A FOUR|n.|quadren|
A GOOD DEAL|adj.|mult, sat mult|
A LOT OF|adj.|mult|
A MAN OF LETTERS|n.|litterato|
A MATTER OF COURSE|n.|un afere natural|
A ONE|n.|unen|
A PIECE OF NEWS|n.|un nova|
A SMATTERER IN PHILOSOPHY|n.|un filosofastro|
A WORK OF SUPEREROGATION|n.|superflú bonitá|
TAKEN ABACK|adj.|consternat, perplex, surprisat|
ABAFT|adj.|vers li sterne|
ABANDON|n.|licentie|
ABANDON|v.|abandonar, ceder|
ABANDONED|adj.|abandonat; (morally) ínmoral, depravat|
ABASE|v.|abassar, degradar, humilar|
ABASH|v.|confuser, pudentar|
ABATE|v.|diminuer; (price) rabattar, redacter; (pain etc.) quietar, mitigar, moderar (se)|
ABATTOIR|n.|bucheria, abattuore|
ABBEY|n.|abatia|
ABBOT|n.|abate (-essa, -ia, -iatu)|
ABBREVIATE|v.|acurtar, abreviar|
ABDICATE|v.|abdicar; (office) demisser, demissionar, resignar, renunciar|
ABDOMEN|n.|ventre, abdómine (-al)|
ABDUCT|v.|rapter (-or, -ion), forducter|
ABERRATION|n.|deviation, vagantie; (astr.) aberration; (mental) desórdine mental|
ABET|v.|incitar, instigar; suportar; (aid) auxiliar|
ABETTOR|n.|complice, incitator|
ABHOR|v.|abominar, detestar (-ation)|
ABIDE|v.|sejornar, habitar; (remain) permaner, restar; (abide by) tener, observar; (endure) tolerar, suffrer; (abiding place) domicilie|
ABILITY|n.|capabilitá, habilitá, facultate|
ABJECT|adj.|abject, bass, vil, miserabil, indigni|
ABJURE|v.|abjurar, renunciar (a), resignar|
ABLATIVE|n.|ablative|
ABLAZE|adj.|flammant|
ABLE|adj.|habil, capabil, talentat|
ABLEBODIED|adj.|robust, fort|
ABLUTION|n.|lavation|
ABNEGATE|v.|abnegar (-ation), renunciar|
ABNORMAL|adj.|abnormal, ne normal, anormal|
ABOARD|adv.|a bord|
ABODE|n.|logí, habitation, domicilie|
ABOLISH|v.|abolir (-ition); (annul) abrogar, anullar|
ABOMINATE|v.|detestar, abominar (-abil, -ation)|
ABORIGINAL|adj.|primitiv, original|
ABORIGINES|n.|primitives, aborigines|
ABORT|v.|aborter (-ion)|
ABORTION|n.|aborte, misparturition|
ABOUND|v.|abundar (-ant, -antie), pulular|
ABOUT|prep.|concernent, pri; (around) circum|
ABOUT|adv.|(approx.) circa|
ABOVE|adv.|supra, ad-supra; (more than) plu quam|
ABOVE|prep.|súper|
ABOVE ALL|adv.|precipue, ante omnicos|
ABOVE-BOARD|adj.|franc, apert, sinceri|
ABRASION|n.|abrasion|
ABREAST|adv.|flanc a flanc, paralelmen|
ABRIDGE|v.|acurtar, reducter|
ABROAD|adj.|(outside) extern; (out of country) in extrania|
ABROGATE|v.|abrogar (-ation, -ator)|
ABRUPT|adj.|abrupt; (sudden) subit|
ABRUPTNESS|n.|abruptitá|
ABSCESS|n.|abscesse|
ABSCOND|v.|fugir, escapar secretmen, forcurrer|
ABSENT|adj.|absent (-ie)|
ABSENT|v.|absentar se|
ABSENTMINDED|adj.|obliviaci, distractet|
ABSINTHE|n.|absinte, vermute|
ABSOLUTE|adj.|absolut, soveran, ínlimitat|
ABSOLUTELY|adv.|ínfallibilmen, absolutmen|
ABSOLVE|v.|absoluer (-tion)|
ABSORB|v.|absorpter (-ion), insucar|
ABSTAIN|v.|abstener se (-entie); (from alcohol) abstiner (-ente)|
ABSTEMIOUS|adj.|abstenent, frugal, moderat|
ABSTRACT|adj.|abstra(c)t|
ABSTRACT|n.|resumate|
ABSTRACT|v.|abstraer (-tion)|
ABSTRUSE|adj.|obscur, profund, ocult, celat|
ABSURD|adj.|absurd (-itá), stult, idiotic|
ABUNDANCE|n.|abundantie|
ABUSE|n.|insulte(s), invective; misusa|
ABUSE|v.|insultar, invectivar; misusar|
ABUT|v.|adjacer|
ABYSS|n.|abisse, precipitie|
ACACIA|n.|acacie; (false) robinia|
ACADEMY|n.|academie (-ic)|
ACANTHUS|n.|acante|
ACCEDE|v.|acceder; (to a request) conceder, consentir|
ACCELERATE|v.|accelerar (-ation, -ator)|
ACCENT|n.|accentu (-al, -ar, -ation); (of speech) parla-maniere|
ACCEPT|v.|acceptar (-ation)|
ACCEPTABLE|adj.|acceptabil, agreabil|
ACCESS|n.|accesse (-ibil, -ion)|
ACCESSORY|adj.|accessori|
ACCESSORY|n.|accessorie|
ACCESSORIES|n.pl.|accessories|
ACCIDENCE|n.|flexion, morfologie|
ACCIDENT|n.|accidente (-al), chance, hasarde|
ACCLAIM|v.|aclamar (-ation, -atori)|
ACCLIMATISE|v.|aclimatisar (-ation)|
ACCLIVITY|n.|coline, declive|
ACCOMMODATE|v.|acomodar, adaptar; (oblige) compleser; (put up) albergar|
ACCOMPANY|v.|acompaniar (-ament)|
ACCOMPLICE|n.|complice, conculpon|
ACCOMPLISH|v.|acompleer, efectuar, executer, atinger|
ACCOMPLISHED|adj.|talentat|
ACCOMPLISHMENT|n.|(aquisit) habilitá|
ACCORD|n.|acorde|
ACCORD|v.|acordar, concordar; (grant) conceder, dar|
ACCORDANCE|n.|acordantie|
ACCORDING TO|prep.|secun|
ACCORDINGLY|adv.|ergo, dunc, pro to|
ACCORDION|n.|acordeon (-ist)|
ACCOST|v.|adparlar|
ACCOUCHEUR|n.|acuehera|
ACCOUNT|n.|(bill) calcul, factura; (banking) conto; (importance) importantie; (story) raconta, raporte|
ACCOUNT FOR|v.|responsar, rendir conto pri|
ACCOUNTABLE|adj.|responsabil|
ACCOUNTANT|n.|contator de libres|
ACCOUTRE|v.|equipar, provider per|
ACCREDIT|v.|acreditar, atestar|
ACCRUE|v.|acrescer, augmentar se, resultar|
ACCUMULATE|v.|acumular (-ation, -ator), amassar, augmentar se|
ACCURACY|n.|precision, corectitá, acuratesse|
ACCURATE|adj.|acurat, exact, corect, precisi, sin erras|
ACCURSED|adj.|maledit|
ACCUSE|v.|acusar (-ation, -ator, -ativ, -ative)|
ACCUSTOM|v.|acustomar, aclimatar (se a)|
ACCUSTOMED|adj.|usual|
ACE|n.|ass|
ACERBITY|n.|acerbitá, aspritá|
ACETATE|n.|acetate|
ACETYLENE|n.|acetilen|
ACHE|v.|doler (-ore)|
ACHIEVE|v.|acompleer, atinger, efectuar|
ACHROMATIC|adj.|acromatic|
ACID|adj.|acid|
ACID|n.|acide|
ACKNOWLEDGE|v.|aconosser (-ement), confesser, admisser|
ACME|n.|cúlmine, sómmite; (disease) crise|
ACONITE|n.|aconte|
ACORN|n.|glande|
ACOUSTIC|adj.|acustic|
ACOUSTICS|n.|acustica|
ACQUAINT|v.|conossentar, informar, avisar|
ACQUAINTANCE|n.|conossentie; (person) conossete (-o, -a)|
ACQUIESCE|v.|submisser se a, consentir a|
ACQUIRE|v.|aquisir, obtener, ganiar|
ACQUISITION|n.|aquisition|
ACQUIT|v.|absoluer, aquittar; (oneself) conduir se|
ACRE|n.|acre|
ACRID|adj.|acri, picant, acerb|
ACRIMONIOUS|adj.|amari (-tá)|
ACROBAT|n.|acrobate (-ic)|
ACROSS|prep.|trans|
ACROSTIC|n.|acrosticon|
ACT|n.|acte; statute, actu (-ario)|
ACT|v.|acter (-ion, -or, -iv, -ivitá); (as an actor) luder, acter|
ACTINIC|adj.|actinic|
ACTION|n.|(lawsuit) processu; (of machine) functionada|
ACTUAL|adj.|factic, real, efectiv|
ACTUATE|v.|instigar, motivar, far functionar, impulser|
ACUMEN|n.|sagacitá, perception|
ACUTE|adj.|acut, sagaci|
AD LIBITUM|adv.|ad libitum|
AD NAUSEAM|adv.|a nausea|
ADAGE|n.|proverbie|
ADAMANT|n.|adamant|
ADAPT|v.|adaptar (-ation), adjustar|
ADD|v.|adjunter; (arith.) addir, summar|
ADDENDUM|n.|addendum|
ADDER|n.|vípere|
ADDICT|n.|sclave|
ADDICT ONESELF TO|v.|habituar se a|
ADDLE|v.|confuser, putrir|
ADDLEBRAINED|adj.|stult, stupid|
ADDRESS|v.|(letters) directer, adressar; (a person) adparlar|
ADDRESS|n.|adresse (-ate, -arium); (speech) discurse, parlation|
ADDRESSEE|n.|destinatario|
ADDUCE|v.|citar, alegar|
ADEPT|n.|adepte|
ADEPT|adj.|adept, habil|
ADEQUATE|adj.|adequat, suficent|
ADHERE|v.|adherer (-ente, -Sion, -Siv)|
ADHESIVE|n.|adhesive, colle|
ADIEU|interj.|adío, til revide|
ADIPOSE|adj.|corpulent, obesi|
ADJACENT|adj.|adjacent, vicin|
ADJECTIVE|n.|adjective (-al, -ic)|
ADJOIN|v.|adjacer, vicinar|
ADJOURN|v.|ajornar; (Parl.) prorogar|
ADJUDGE|v.|adjudicar (-ation)|
ADJUNCT|n.|suplement, anexe, adjuntete|
ADJURE|v.|adjurar, suplicar|
ADJUST|v.|adjustar, ordinar, corecter, rectificar|
ADJUSTABLE|adj.|adjustabil, variabil|
ADJUTANT|n.|adjutante|
ADMINISTER|v.|administrar (-ation, -ativ, -ator); gerer|
ADMINISTER THE SACRAMENT|v.|comunier|
ADMIRAL|n.|amirale|
ADMIRE|v.|admirar (-abil, -ation, -ator)|
ADMISSIBLE|adj.|admissibil (-itá)|
ADMIT|v.|admisser (-ion); confesser; conceder, aconosser|
ADMIXTURE|n.|admixtion|
ADMONISH|v.|monir, admonir, exhortar|
ADO|n.|desfacilitá, tumultu, bruida|
ADOLESCENT|adj.|adolescent (-e, -ie}|
ADOPT|v.|adopter (-ion, -iv)|
ADORE|v.|adorar (-abil, -ation, -ator)|
ADORN|v.|ornar (-ament), decorar|
ADROIT|adj.|habil, astut, capabil|
ADULATE|v.|adular (-ation, -ator), flattar|
ADULT|n.|adulte|
ADULT|adj.|adult, plen-crescet|
ADULTERATE|v.|falsar, corupter|
ADULTERY|n.|adultérie|
ADUMBRATE|v.|esquissar|
ADVANCE|v.|avansar, progresser|
ADVANTAGE|n.|avantage (-eosi), profite|
ADVENT|n.|ariva; (eccl.) advente|
ADVENTITIOUS|adj.|accidental, hasardal|
ADVENTURE|n.|aventura (-ero, -osi)|
ADVERB|n.|adverbie (-al)|
ADVERSARY|n.|adversario, oponente, antagonist|
ADVERSE|adj.|adversi, contrari|
ADVERSITY|n.|misere, indigentie, beson|
ADVERT TO|v.|aluder, referer, mentionar|
ADVERTISE|v.|anunciar, reclamar|
ADVERTISEMENT|n.|anuncie, reclam|
ADVICE|n.|consilie|
ADVISE|v.|consiliar; informar, avisar; (warn) advertir|
ADVOCATE|n.|avocate|
ADVOCATE|v.|recomandar; (law) pledar|
ADZE|n.|curvi hacca|
AEGIS|n.|egide|
AERATE|v.|aerar|
AERIAL|n.|antenne|
AERO|prefix|aero-dinamic, -nautica, -plane etc.|
AESTHETE|n.|estete (-ic, -ica)|
AFAR|adv.|lontan, distant, for|
AFFABLE|adj.|afabil (-itá)|
AFFAIR|n.|afere|
AFFECT|v.|afecter; (the feelings) emoer, emotionar; (pretend) afectar (-ation), ficter|
AFFECTION|n.|amore, afection|
AFFIANCE|v.|sponder|
AFFIDAVIT|n.|jurat atestation|
AFFILIATE|v.|afiliar (-ation)|
AFFINITY|n.|afinitá, parentitá|
AFFIRM|v.|afirmar (-ation, -ativ), asserter|
AFFIX|n.|afixe|
AFFIX|v.|apender, adjunter|
AFFLATUS|n.|inspiration|
AFFLICT|v.|aflicter (-ion), vexar, tormentar|
AFFLUENCE|n.|richesse, abundantie, opulentie|
AFFORD|v.|haver li medies; (yield) dar, liverar, producter|
AFFOREST|v.|aforestar (-ation)|
AFFRAY|n.|rixe, lucte|
AFFRIGHT|v.|aterrer, timentar|
AFFRONT|v.|insultar, ofender, afrontar|
AFIELD|adv.|in lontanie|
AFLOAT|a.|flott, flottant|
AFOOT|adv.|in eada|
AFORE|prefix|pre-, antey|
